order_id,customer_id,product_id,order_date,order_timestamp,quantity,unit_price,total_amount,currency,payment_method,shipping_method,status,op,is_deleted,shipping_address,billing_address,discount_percent,tax_amount,shipping_cost,promo_code,sales_rep_id,channel,created_at,updated_at,source_system,ingestion_timestamp,order_month,order_quarter,order_year,order_segment,customer_order_count,fulfillment_days
ORD-00000001,CUST-000221,PROD-002275,2025-11-28,2025-11-28 01:14:50,7,880.59,6678.96,EUR,PAYPAL,2_DAY,COMPLETED,INSERT,false,6912 Order St,9381 Billing St,0.0,493.13,21.7,PROMO406,REP-0095,CALL_CENTER,2025-11-28 01:14:50,2026-01-21 21:47:15,snowflake,2026-02-08 20:40:34.931109,11,4,2025,high_value,1,4
ORD-00000002,CUST-022755,PROD-006524,2024-09-24,2024-09-24 05:57:27,10,1344.49,12347.57,GBP,BANK_TRANSFER,2_DAY,COMPLETED,INSERT,false,2693 Order St,1641 Billing St,15.0,914.25,5.16,PROMO114,REP-0082,PARTNER,2024-09-24 05:57:27,2025-07-25 16:45:01,snowflake,2026-02-08 20:40:34.931109,9,3,2024,high_value,1,12
ORD-00000003,CUST-001815,PROD-000129,2025-04-01,2025-04-01 07:46:49,4,782.1,3399.72,GBP,PAYPAL,2_DAY,CANCELLED,INSERT,false,9664 Order St,4906 Billing St,0.0,250.27,21.05,PROMO218,REP-0036,CALL_CENTER,2025-04-01 07:46:49,2025-10-01 00:03:41,snowflake,2026-02-08 20:40:34.931109,4,2,2025,high_value,1,
ORD-00000004,CUST-000265,PROD-000334,2025-09-28,2025-09-28 10:29:28,5,257.16,1339.44,AUD,BANK_TRANSFER,GROUND,COMPLETED,INSERT,false,7308 Order St,4794 Billing St,5.0,97.72,20.21,PROMO427,REP-0055,CALL_CENTER,2025-09-28 10:29:28,2025-10-06 03:06:05,snowflake,2026-02-08 20:40:34.931109,9,3,2025,high_value,1,10
ORD-00000005,CUST-001548,PROD-007584,2025-05-06,2025-05-06 08:11:31,1,362.29,391.91,AUD,CREDIT_CARD,OVERNIGHT,COMPLETED,INSERT,false,1699 Order St,6235 Billing St,5.0,27.53,20.2,PROMO315,REP-0160,WEB,2025-05-06 08:11:31,2025-05-12 10:21:49,snowflake,2026-02-08 20:40:34.931109,5,2,2025,mid_value,1,2
ORD-00000006,CUST-017839,PROD-000086,2025-01-26,2025-01-26 01:46:22,5,523.74,2278.17,EUR,DEBIT_CARD,2_DAY,PENDING,INSERT,false,3761 Order St,4653 Billing St,20.0,167.6,15.61,PROMO353,REP-0165,CALL_CENTER,2025-01-26 01:46:22,2026-01-09 06:34:04,snowflake,2026-02-08 20:40:34.931109,1,1,2025,high_value,1,
ORD-00000007,CUST-010675,PROD-000034,2026-01-09,2026-01-09 09:04:20,8,406.11,2999.65,CAD,DEBIT_CARD,OVERNIGHT,SHIPPED,INSERT,false,3744 Order St,3374 Billing St,15.0,220.92,17.18,,REP-0062,PARTNER,2026-01-09 09:04:20,2026-01-15 21:40:09,snowflake,2026-02-08 20:40:34.931109,1,1,2026,high_value,1,5
ORD-00000008,CUST-000497,PROD-000137,2024-12-18,2024-12-18 04:47:48,10,656.34,6745.15,USD,BANK_TRANSFER,OVERNIGHT,COMPLETED,INSERT,false,3539 Order St,88 Billing St,5.0,498.82,11.1,PROMO310,REP-0194,WEB,2024-12-18 04:47:48,2025-07-08 20:18:04,snowflake,2026-02-08 20:40:34.931109,12,4,2024,high_value,1,11
ORD-00000009,CUST-049584,PROD-000104,2024-10-28,2024-10-28 13:10:29,4,1492.47,5173.7,USD,CREDIT_CARD,2_DAY,SHIPPED,INSERT,false,730 Order St,7567 Billing St,20.0,382.07,15.73,PROMO285,REP-0152,WEB,2024-10-28 13:10:29,2025-07-23 23:06:17,snowflake,2026-02-08 20:40:34.931109,10,4,2024,high_value,1,5
ORD-00000010,CUST-008316,PROD-007290,2024-04-09,2024-04-09 06:37:39,5,450.78,2459.3,EUR,CREDIT_CARD,OVERNIGHT,COMPLETED,INSERT,false,6917 Order St,8254 Billing St,0.0,180.31,25.09,PROMO326,REP-0168,MOBILE,2024-04-09 06:37:39,2024-06-30 01:45:47,snowflake,2026-02-08 20:40:34.931109,4,2,2024,high_value,1,5
