"Record ID","First Name","Last Name","Email","Phone Number","Lead Status","Favorite Content Topics","Preferred channels","Create Date"
"282681751263","Dorothy","Perez","dorothy.perez@morgan-barnes.com"," +1 780-298-9653","","","","2025-10-12 14:28"
"282599543495","Brian","Torres","brian.torres@kline-davis-and-garcia.com"," +1 687-478-1762","","","","2025-10-12 14:28"
"282599543494","John","Rivera","john.rivera@york-plc.com"," +1 355-210-4583","","","","2025-10-12 14:28"
"282683554528","Patricia","Flores","patricia.flores@york-plc.com"," +1 854-883-8916","","","","2025-10-12 14:28"
"282679960250","Dorothy","Carter","dorothy.carter@sharp-murray.org"," +1 233-296-7640","","","","2025-10-12 14:28"
"282679959289","George","Gonzalez","george.gonzalez@becker-ware.com"," +1 253-475-7179","","","","2025-10-12 14:28"
"282675567317","Anthony","Clark","anthony.clark@jackson-lee.co"," +1 771-743-3196","","","","2025-10-12 14:28"
"282541712120","Michael","Miller","michael.miller@valenzuela-phillips.co"," +1 737-353-4948","","","","2025-10-12 14:28"
"281922240187","Ashley","Lopez","ashley.lopez@decker-and-sons.com"," +1 756-858-1962","","","","2025-10-12 14:28"
"282614402765","Michelle","Roberts","michelle.roberts@rivers-llc.ai"," +1 217-447-4376","","","","2025-10-12 14:28"
"282679959288","Nancy","Anderson","nancy.anderson@alexander-welch.biz"," +1 589-784-5026","","","","2025-10-12 14:28"
"282677363429","Robert","Lewis","robert.lewis@rivers-llc.ai"," +1 813-889-1797","","","","2025-10-12 14:28"
"282599543493","Susan","Perez","susan.perez@becker-ware.com"," +1 863-281-8369","","","","2025-10-12 14:28"
"282675567316","Paul","Torres","paul.torres@barnes-paul-and-price.org"," +1 874-234-3938","","","","2025-10-12 14:28"
"282669414104","Robert","Jones","robert.jones@smith-lee.com"," +1 393-980-4555","","","","2025-10-12 14:28"
"282618197738","Christopher","Clark","christopher.clark@crawford-inc.org"," +1 247-777-4625","","","","2025-10-12 14:28"
"282681751261","Sarah","Gonzalez","sarah.gonzalez@anderson-taylor-and-fields.ai"," +1 943-984-2848","","","","2025-10-12 14:28"
"282681751259","Donald","Brown","donald.brown@sharp-murray.org"," +1 853-210-3807","","","","2025-10-12 14:28"
"282622301904","Melissa","Wilson","melissa.wilson@moore-johnson-and-hogan.com"," +1 793-275-1742","","","","2025-10-12 14:28"
"282549540575","Anthony","Martin","anthony.martin@harper-franco.biz"," +1 482-263-3869","","","","2025-10-12 14:28"
"282541712119","Sarah","Wright","sarah.wright@neal-baldwin-and-simpson.io"," +1 494-218-9228","","","","2025-10-12 14:28"
"282681751260","Emily","Nguyen","emily.nguyen@crawford-inc.org"," +1 794-938-7841","","","","2025-10-12 14:28"
"282681751258","Sandra","Hernandez","sandra.hernandez@decker-and-sons.com"," +1 951-561-3773","","","","2025-10-12 14:28"
"281678941931","Amanda","White","amanda.white@gonzalez-plc.co"," +1 280-778-2838","","","","2025-10-12 14:28"
"282618197737","Charles","Anderson","charles.anderson@harris-plc.com"," +1 950-790-6224","","","","2025-10-12 14:28"
"282614153958","Richard","Torres","richard.torres@walker-scott-and-peterson.org"," +1 750-354-3695","","","","2025-10-12 14:28"
"282679959287","Karen","Smith","karen.smith@turner-ltd.net"," +1 417-395-2922","","","","2025-10-12 14:28"
"282618197736","Barbara","Roberts","barbara.roberts@cunningham-kline-and-burton.com"," +1 339-985-7887","","","","2025-10-12 14:28"
"282549540574","Kevin","Brown","kevin.brown@wilson-and-sons.co"," +1 983-207-7756","","","","2025-10-12 14:28"
"282549540573","Charles","Harris","charles.harris@cooper-bray.com"," +1 678-747-6886","","","","2025-10-12 14:28"
"282614402764","John","Scott","john.scott@hardy-llc.biz"," +1 756-498-5914","","","","2025-10-12 14:28"
"282614153957","William","Miller","william.miller@gonzalez-torres.biz"," +1 831-959-4920","","","","2025-10-12 14:28"
"282679959286","Emily","Robinson","emily.robinson@moore-johnson-and-hogan.com"," +1 889-516-1356","","","","2025-10-12 14:28"
"282619995861","James","Carter","james.carter@palmer-rice-and-benson.org"," +1 224-506-8585","","","","2025-10-12 14:28"
