LeadExternalId,AccountExternalId,FirstName,LastName,Title,Company,Email,Phone,Status,LeadSource,Country,CreatedDate
5f8f6bc8-d937-413a-9917-5b2ca939c93f,0e847fe57bc3da50ac6f7703419e77dfaef08460d8d43a8caa67858c16926249,Sheri,Duncan,Director,Lopez-Ramirez,sheri.duncan@erickson.org,8827850323,Working - Contacted,Phone Inquiry,China,2025-07-29T21:30:23Z
efc08195-3e14-4aef-bebe-34e5518d1d4f,829bf9b20991edf265fd22a3e83e75f98a451aaaffe80b9b22d0995ae8a9e36b,Adam,Garcia,Analyst,"Berry, Jackson and Collins",adam.garcia@gross-campbell.net,282.688.7334x2070,Closed - Converted,Partner,Poland,2025-05-15
5f5bde0d-0eac-4387-90f6-ad0ae03cb614,3674dbe3006b755e325230ddf76a72433c445b4088a8ed09e37d300c3e8997d7,Mario,Lutz,Analyst,"Martin, Davis and Bowman",mario.lutz@cardenas.com,001-369-272-2548x4285,Open - Not Contacted,Advertisement,Burundi,12/22/2024
262d6445-777d-4376-a13a-1fee691eb97c,c4315fa6cd9b6c1139b925d82bdb8de5a909340e0e9ed110fe8f2f24ba0bebe2,Sandra,Marshall,Data Engineer,Sanchez-Johnson,sandra.marshall@barnes-washington.net,207.135.7527,Closed - Converted,Phone Inquiry,Guinea-Bissau,05/30/2025
fc44d783-c07e-4583-bbf1-0aef5a962df2,4d11069ef49f9136e98f71c9d8921e7ac7a71dad2302ea49c8db319f29a5f950,Ashley,Garcia,Engineer,Lewis-Lee,ashley.garcia@zuniga.net,946-246-7262,Closed - Not Converted,Phone Inquiry,Philippines,2025-09-16
05540a04-8ee8-4e33-b303-005aad8addda,1e13286edd0c71707522a0720da8cdc24bc71de970723b2e1af77811b94abbf3,James,Brown,Manager,"Mills, Andrews and Murillo",james.brown@warner.com,445-427-3764x130,Closed - Not Converted,Partner,Gibraltar,2025-05-13
abdbd226-00cf-4f90-9615-4417d3ec6ce2,b56a8765c4402fe5b0253825a4a5d3d959770b4ae011de58a60a10a2310734e7,Jasmin,Lewis,Analyst,Martinez-Pham,jasmin.lewis@hill.com,102.804.0043,Open - Not Contacted,Trade Show,Korea,2025-09-14T21:30:23Z
c77d3385-d529-442e-9d61-dbc82fcdf141,d31f1297fb9f884a5e4e74ffe6e251f5175eba01058509cb44e05d59ae538e18,Sarah,Miranda,Manager,Taylor Plc,sarah.miranda@dougherty-wyatt.biz,+1-671-267-5054x90783,Working - Contacted,Partner,Aruba,2025-10-02
3070c2e3-2901-477d-b8cf-822fc445cb7a,758c6cbd8c6a3b756ba058e18099067f4faf7320e5a3e61a9c5931eadffda7f9,Denise,Stephens,Analyst,Munoz PLC,denise.stephens@thomas-turner.net,+1-442-856-0823x5762,working - contacted,,Uruguay,2025-04-05T21:30:23Z
fe2f5f81-fd55-47fb-9de0-4147d62bc7af,d7759d334ddc375ee042084e3ffca856fa237c05c4bda4ee4f78dbbb3079635b, Angela ,Cortez,Engineer,"Johnson, Thompson and Brown",angela.cortez@reilly.com,174-819-2838x815,Open - Not Contacted,Trade Show,Moldova,2025-01-25
3618d67b-4b7e-42c6-b7ff-cadd724637b7,4cbaf35fd170135d987224d296db8657a3e688e1daf6e460c38b3188469c339d,John,Parrish,Engineer,Castaneda Group,john.parrish@page.com,+1-503-881-1995,Closed - Converted,Advertisement,Yemen,06/07/2025
f7a79bd4-3ad9-4a57-a368-77dc25f6ee6f,f3065f0f10ab8f48724cdd92149a0d59137f902371a79d7a010d194e718a426e,Bonnie,Young,Data Engineer,"Smith, Underwood and Roberts",bonnie.young@pope.net,628.896.6841x6852,Open - Not Contacted,Phone Inquiry,Equatorial Guinea,2025-02-17T21:30:23Z
