lead_id,First Name,Last Name,Company,Title,Email,Phone,City,State/Province,Country,Lead Status,Lead Source,Record Source,Ingest Timestamp
428dc025-5ca7-4802-b90b-225123d5b5e2,Sara,Farley,851a5dec-89d3-4c1b-a29f-a40bfc33e1ca,Copy,timothyjohnson@lozano-fernandez.org,999-560-1470,East Tara,KS,Northern Mariana Islands,Unqualified,Referral,salesforce_leads,2025-10-12T04:56:39.766571
39f15ba0-a24f-41e3-b869-8c90e5e32f55,William,Smith,06f3dcaf-4f13-48c7-836d-1af7f4582f32,Dramatherapist,nicholasbond@yahoo.com,001-583-644-2576,Stacyhaven,TX,Turkey,New,Referral,salesforce_leads,2025-10-12T04:56:39.766571
86302032-0e7e-4786-8160-21c2e864cb49,Daniel,Marshall,28b2a65a-2fcf-4807-961f-940b31526818,"Engineer, civil (contracting)",mcarter@gmail.com,135-681-3246x75243,North Miguelfort,CO,Dominica,New,Advertisement,salesforce_leads,2025-10-12T04:56:39.766571
b8d2487a-4c18-488f-9dd5-c96cf47a007f,April,Ellison,73c09bbd-7fca-4273-80d5-709ed05c0a30,Associate Professor,kim29@yahoo.com,+1-183-285-0157x453,Lake Desireetown,WY,Colombia,Unqualified,Advertisement,salesforce_leads,2025-10-12T04:56:39.766571
22049bd9-5e63-4c4a-ad97-f5b37eeaa324,Tracy,Adams,17f40517-c57e-482b-8d76-26319de69a3e,Cartographer,kylereed@barry.com,162.680.3554,Sotoville,PA,Mauritius,Working,Email,salesforce_leads,2025-10-12T04:56:39.766571
a4c1b46a-d12c-4469-93e5-4d1cf479330b,Laura,Garcia,f9a78b76-4f59-4cb8-b33e-e78060f99e7a,IT technical support officer,rachel59@rios.com,214.664.8590,Port Robertborough,NE,Algeria,New,Web,salesforce_leads,2025-10-12T04:56:39.766571
34e3f491-736c-4355-86ec-ce0d6464bc7b,Rebecca,Herman,b7049aaf-ba5d-4bfd-a3b4-6e7a673fb7eb,Race relations officer,wallerpatricia@yahoo.com,891-443-6786x92485,North Markfort,AL,American Samoa,Qualified,Email,salesforce_leads,2025-10-12T04:56:39.766571
56d46f2a-0434-4076-9c8a-38f5a9d6cfc9,Eric,Morris,32a6b573-6537-4799-9f1c-fcae5d2a9dec,Dance movement psychotherapist,bonillajuan@gmail.com,586-112-9256,Hillview,PA,Mali,New,Advertisement,salesforce_leads,2025-10-12T04:56:39.766571
e0121abc-2f0f-48c7-b3b4-8b00cc377c30,Joseph,Walters,174ccea4-9912-4fde-94de-21498dbb72ae,"Geologist, wellsite",bobby91@torres.info,2506984907,Kylefort,NH,Saint Helena,Qualified,Web,salesforce_leads,2025-10-12T04:56:39.766571
d8be73ba-6e56-4785-a3f3-04efe0804206,Tanner,Hunt,cbc166d1-bc82-42c0-abef-a4f9f9f8ce90,Lobbyist,tina24@schneider-bell.com,+1-385-507-7083x8054,Paulachester,TX,Mozambique,Unqualified,Web,salesforce_leads,2025-10-12T04:56:39.766571
617be622-2b9b-43b4-af21-323ccd8e6594,Tara,Cooke,f799aedb-461b-4cd6-9c67-037eaaf0005f,Technical brewer,vjohnson@smith.com,997-736-5736x71703,New Scottmouth,HI,Bahamas,New,Advertisement,salesforce_leads,2025-10-12T04:56:39.766571
172abab6-762b-4adc-9b27-dde04df2d918,Bethany,Tucker,f498e89e-953d-4eab-9b7a-2ba3fb4a7de6,"Accountant, chartered management",vaughnjesse@yahoo.com,2193705955,Bauerville,OR,Mayotte,Working,Referral,salesforce_leads,2025-10-12T04:56:39.766571
46555c4f-2f10-4ad0-8be1-fdbe4d2864fd,Justin,Brown,20bcc27f-f747-4e78-9540-aa3f3fe74a9a,Medical secretary,sanderssonia@dudley-boyd.com,794-937-8178x82229,Sharonstad,AK,French Southern Territories,New,Referral,salesforce_leads,2025-10-12T04:56:39.766571
5c24d6dd-02f7-4a1e-97c8-93e208caed24,John,Cole,1a1cfdd5-949f-4c57-9444-c4215a2eb5ae,Fitness centre manager,jennifer16@bowen.com,734-395-0305,New Christinaville,NC,Timor-Leste,New,Web,salesforce_leads,2025-10-12T04:56:39.766571
8d6f84af-3324-4bca-b3a2-b49b26dd96e0,Andrea,Nguyen,80a2c73c-9096-43fc-8ac1-067d3642eb97,Museum/gallery conservator,oconnorjoshua@hotmail.com,538.277.7728x41962,Sabrinamouth,DC,Netherlands Antilles,New,Email,salesforce_leads,2025-10-12T04:56:39.766571
ab1a7755-ff70-485d-b059-5ea64413f1de,Larry,Wolfe,bdb2b054-d29b-4bab-927e-5362e9999b92,Industrial buyer,leslieschmidt@day.com,001-198-832-7817x354,Rangeltown,ID,Philippines,Unqualified,Referral,salesforce_leads,2025-10-12T04:56:39.766571
32d991c7-ad9f-4f8e-9fc0-b81dbfca8c02,Eric,Smith,b7382959-4527-4378-b837-0068b5416d43,Clinical psychologist,christopher93@yahoo.com,+1-344-052-3330x819,West Amy,GA,Iraq,Working,Email,salesforce_leads,2025-10-12T04:56:39.766571
59252e21-737a-4fc2-b18e-ec757be6eec6,Martin,Payne,cbc166d1-bc82-42c0-abef-a4f9f9f8ce90,Secretary/administrator,racheldavidson@caldwell.com,065-072-1505x6611,Lake Julie,KY,Sweden,New,Referral,salesforce_leads,2025-10-12T04:56:39.766571
7a8961ca-b7fb-4951-adff-79e5b4937e50,Jason,Yang,5ff8ff9a-f38d-49da-97e0-21795afa439f,"Surveyor, quantity",walkersarah@singleton.com,(680)853-2167x576,Joanland,NC,Kenya,Working,Referral,salesforce_leads,2025-10-12T04:56:39.766571
e325b5e1-6fc3-41e3-944b-5d4ef28c8f58,Courtney,Roberts,a07e8cc3-3e7c-43fc-96ef-09e41eaa35e7,Theme park manager,currysara@hotmail.com,+1-937-870-0529x693,Smithchester,NM,Togo,Unqualified,Email,salesforce_leads,2025-10-12T04:56:39.766571
e49ff22e-353c-4b6e-8e72-59f2567b6b57,Tara,Sherman,b10cbfc3-7246-4649-9837-a485ceb16f1b,"Lighting technician, broadcasting/film/video",sarahmadden@henderson.com,123-579-9491x586,South Veronica,WI,Venezuela,Qualified,Advertisement,salesforce_leads,2025-10-12T04:56:39.766571
23ba6c10-2c93-4ef5-8b8e-2d6aa13f5b83,Margaret,Fisher,96ab8721-4d68-4b3d-9727-f0c2b03bcf27,"Civil engineer, consulting",awalker@rivera.info,(456)151-8090,West Amy,OK,Jamaica,New,Referral,salesforce_leads,2025-10-12T04:56:39.766571
5a01c1c4-5990-4a60-816e-e9fac77623f8,Michelle,Johnson,20401a6f-5945-4d20-9862-38206cbb42cc,"Pharmacist, community",iwaters@gmail.com,029.147.4465x067,Victorville,NJ,Saint Lucia,Working,Referral,salesforce_leads,2025-10-12T04:56:39.766571
f8700765-8cb9-488c-9cc0-df59aaba2b43,Sarah,Brooks,3d0a57a0-e67c-4b46-8c05-319c450165d4,"Engineer, civil (consulting)",johnblair@hotmail.com,(062)252-1080x0242,Port Brendastad,OR,Romania,Working,Email,salesforce_leads,2025-10-12T04:56:39.766571
c69aaf83-a556-494c-aaf1-644536364c1e,Lisa,Thompson,c4409009-16d1-43e7-9914-cb3d97f2dd47,Wellsite geologist,cassandra91@stephens.com,001-306-429-2462,West Kelly,OR,Bosnia and Herzegovina,Unqualified,Advertisement,salesforce_leads,2025-10-12T04:56:39.766571
c82c65bf-502c-4cda-9460-68eacf10ed01,Melanie,Stewart,bded0466-f399-41da-99f5-42391313149b,Occupational therapist,billyhunter@rowe.biz,5498854364,New Christinafort,RI,Maldives,New,Referral,salesforce_leads,2025-10-12T04:56:39.766571
